City,Subdivision,Acres,Paved Street,Winter Access,Bedrooms,Total Baths,Apx Fin SqFt,Age,Year Built,Garage,Carport,Foundation,Heat,Sewer,Water,Sold Price,Closed Date,Days on Market
McCall,Evergreen Terrace 1,0.219,Yes,Yes,4,3.0,2102,31 - 50 Years,1980,One,Unknown,Concrete Perimeter,"Elec Baseboard, Propane Fire Place, Wall Heater",City,Public,628000.0,8/3/2023,64
Donnelly,CR 1,0.965,No,Yes,3,2.0,1794,31 - 50 Years,1968,Unknown,Unknown,Concrete Perimeter,Propane Forced Air,Septic Installed,Well,400000.0,1/5/2024,220
Donnelly,Wagon Wheel Ranch 5,0.9263,Yes,Yes,4,3.0,2788,31 - 50 Years,1998,Four,Two,Concrete Perimeter,"Wall Heater, Wood Stove",NLSD,Well,650000.0,10/25/2023,150
McCall,Unknown,2.986,No,Yes,3,2.5,2329,11 - 20 Years,2003,Three,One,Concrete Perimeter,"Propane Fire Place, Propane Forced Air, Wall Heater",Septic Installed,Well,1050000.0,11/9/2023,161
McCall,Binford,1.75,No,Yes,3,3.0,2913,21 - 30 Years,2002,Two,Unknown,Concrete Perimeter,"Propane Fire Place, Radiant, Wall Heater",Septic Installed,Well,940000.0,10/4/2023,125
McCall,Lakeforest,0.192,Yes,Yes,4,2.0,1800,31 - 50 Years,1974,One,Unknown,Concrete Perimeter,"Elec Baseboard, Propane Fire Place, Wall Heater, Wood Stove",PLSWD,Public,535000.0,9/29/2023,120
Donnelly,Ora May,0.67,Yes,Yes,3,1.0,1160,31 - 50 Years,1973,Unknown,One,"Pillar/Post/Pier, Wood","Elec Baseboard, Wood Stove",NLSD,Well,411000.0,8/20/2023,79
McCall,Crescent Rim,0.32,Yes,Yes,3,2.0,1680,31 - 50 Years,1962,Unknown,Unknown,Concrete Perimeter,Propane,Septic Installed,Well,640000.0,7/28/2023,53
McCall,Evergreen Terrace 1,0.2,Yes,Yes,3,2.0,2011,11 - 20 Years,2003,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Propane Fire Place, Wood Stove",City,Public,755000.0,7/12/2023,36
McCall,Shore Lodge Cottages,0.14,Yes,Yes,3,2.5,1959,1 - 5 Years,2020,One,Unknown,Concrete Perimeter,"Fireplace, Propane Forced Air",PLSWD,Public,1745950.0,7/26/2023,50
McCall,Woodlands 1,0.29,Yes,Yes,4,2.0,1780,11 - 20 Years,2004,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Propane Fire Place",City,Public,825000.0,7/24/2023,47
McCall,Unknown,0.77,Yes,Yes,3,4.0,4408,11 - 20 Years,2008,Four,One,Slab,"Radiant, Wood Stove",Septic Installed,Well,Unknown,Unknown,391
Donnelly,Smylie Lane,0.996,No,Yes,3,2.0,1755,6 - 10 Years,2017,Two,Unknown,Concrete Perimeter,"Elec Baseboard, Pellet Stove",Septic Installed,Well,580000.0,11/9/2023,155
McCall,Unknown,0.119,Yes,Yes,2,1.0,860,31 - 50 Years,1975,One,Unknown,Concrete Perimeter,"Pellet Stove, Wall Heater",PLSWD,Public,513000.0,7/13/2023,32
McCall,Whitetail PUD 1,1.55,Yes,Yes,4,5.0,4231,Under Construction,2024,Three,Unknown,Concrete Perimeter,"Fireplace, Propane Forced Air",PLSWD,Public,Unknown,Unknown,387
McCall,Whitetail PUD 1,1.32,Yes,Yes,5,5.5,4834,11 - 20 Years,2007,Four,Unknown,Unknown,Unknown,PLSWD,Public,2900000.0,10/20/2023,124
McCall,Ski Ranch,0.803,No,Yes,3,2.0,1164,21 - 30 Years,1994,Two,Unknown,Concrete Perimeter,"Elec Baseboard, Wood Stove",Septic Installed,Shared Well,709000.0,8/14/2023,56
Donnelly,Wagon Wheel Ranch 2,0.46,No,Yes,3,2.0,1800,11 - 20 Years,2007,Unknown,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace, Other",NLSD,Well,425000.0,8/18/2023,57
McCall,Whispering Woods,4.68,Yes,Yes,3,3.0,2860,11 - 20 Years,2007,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Heat Pump, Wall Heater",Septic Installed,Well,1127500.0,8/18/2023,57
McCall,Greystone Village 3,0.0,Yes,Yes,3,2.0,1064,11 - 20 Years,2007,One,Unknown,Concrete Perimeter,"Heat Pump, Mini-Splits, Wall Heater, Wood Stove",City,Public,455000.0,11/17/2023,147
Donnelly,Whistler's Cove,0.35,No,No,4,3.0,2495,New-Never Occupied,2023,Three,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace",City,Well,950000.0,9/12/2023,76
McCall,Pine Terrace 1,1.38,No,Yes,4,2.5,2980,21 - 30 Years,1999,Three,Unknown,Concrete Perimeter,"Elec Forced Air, Propane Fire Place",Septic Installed,Well,800000.0,9/27/2023,91
McCall,Spring Mountain Ranch 5,0.2707,Yes,Yes,3,3.0,2372,6 - 10 Years,2016,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Heat Pump, Propane Fire Place",PLSWD,Public,1150000.0,9/12/2023,77
McCall,Carefree 7,4.2,No,Yes,2,2.5,1248,21 - 30 Years,1997,Two,Unknown,Concrete Perimeter,"Elec Baseboard, Wood Stove",Septic Installed,Well,710000.0,8/16/2023,48
Donnelly,Whistler's Cove,0.37,No,Yes,4,3.0,2541,New-Never Occupied,2023,Three,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace",City,Well,880000.0,12/29/2023,180
McCall,Sylvan Beach,0.534,Yes,Yes,4,3.0,2174,51 - 80 Years,1942,Unknown,Two,"Concrete Perimeter, Slab","Elec Baseboard, Propane Fire Place, Wall Heater",PLSWD,Shared Well,685000.0,8/21/2023,50
Donnelly,Hawks Bay 1,0.34,Yes,Yes,4,3.5,3739,11 - 20 Years,2006,Three,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace Insert",NLSD,Community,1250000.0,8/16/2023,48
