Subdivision,Acres,Paved Street,Winter Access,Bedrooms,Total Baths,Apx Fin SqFt,Age,Garage,Carport,Foundation,Heat,Sewer,Water,Sold Price,Days on Market,City_Donnelly,City_McCall,Closed Year,Closed Month,Closed Day
43,2.63,1,1,3,2.0,1789,3,4,1,2,15,7,8,685000.0,97,False,True,2023,11,6
67,0.33,0,1,2,1.0,812,3,2,1,0,17,3,8,550000.0,50,True,False,2023,9,21
41,2.0,1,1,3,2.5,2072,7,2,0,2,68,2,1,1051555.0,40,False,True,2023,9,12
17,2.4281,0,1,3,2.0,1656,0,4,2,8,81,7,8,749000.0,56,False,True,2023,8,2
11,0.54,1,1,3,2.0,1624,1,2,0,2,73,0,4,799900.0,58,False,True,2023,9,29
88,0.285,1,1,3,2.0,1472,1,1,0,2,17,5,4,650000.0,46,False,True,2023,9,21
15,1.0,0,0,0,1.0,572,4,0,0,6,82,4,3,170000.0,45,True,False,2023,9,22
95,0.46,1,1,2,2.0,1600,3,2,1,2,18,3,5,685000.0,61,True,False,2023,10,13
96,0.46,0,1,3,2.0,1296,1,2,0,2,65,3,8,485000.0,88,True,False,2023,11,9
26,0.23,1,1,3,2.0,2025,2,2,0,2,18,5,4,780000.0,86,False,True,2023,11,15
10,0.59,1,1,3,2.5,3457,5,3,0,5,45,1,1,1970000.0,73,False,True,2023,11,3
16,4.104,1,1,4,3.0,2760,2,2,1,2,73,7,8,1149900.0,58,False,True,2023,10,20
35,5.0732,0,1,3,2.0,2591,2,5,0,2,41,7,8,903000.0,105,False,True,2023,12,7
88,0.31,0,1,3,2.0,2100,6,2,0,2,40,0,2,535000.0,62,True,False,2023,10,25
79,0.067,1,1,2,2.5,1250,1,1,0,2,68,3,2,1300000.0,184,True,False,2024,2,29
58,3.9,1,1,4,3.5,2954,0,5,0,8,26,7,8,1850000.0,16,False,True,2023,9,15
34,0.223,1,1,2,2.0,1260,4,2,0,2,54,5,4,505000.0,79,False,True,2023,11,17
95,0.476,0,1,2,2.0,1212,1,0,4,2,78,3,8,533000.0,33,True,False,2023,10,3
68,0.06,1,1,4,3.0,2299,8,2,0,2,33,5,4,1843250.0,147,False,True,2024,1,26
